#   No  Energy (eV)          osc        osc x        osc y        osc z
    51      3.50749 1.970479e-03 8.206495e-04 5.087509e-03 3.278961e-06
    52      3.52820 2.552832e-03 5.836989e-03 1.820567e-03 9.388992e-07
    53      3.53620 1.027616e-03 1.174393e-03 1.759820e-03 1.486349e-04
    54      3.58834 5.196868e-02 7.046155e-04 4.050658e-03 1.511508e-01
    55      3.62777 1.034454e-02 2.875052e-04 3.616366e-03 2.712974e-02
    56      3.63068 4.014922e-03 2.300743e-04 7.299375e-03 4.515317e-03
    57      3.63411 2.152427e-02 1.002158e-02 1.540303e-02 3.914820e-02
    58      3.64526 3.668679e-02 5.567887e-02 5.006088e-02 4.320633e-03
    59      3.64793 3.781483e-02 6.608372e-02 4.723973e-02 1.210492e-04
    60      3.70173 3.824747e-04 1.832448e-05 1.121103e-03 7.996330e-06
    61      3.70347 4.825440e-04 2.080278e-04 1.200734e-03 3.887084e-05
    62      3.70456 7.959233e-04 2.380594e-03 4.471147e-06 2.704444e-06
    63      3.76679 1.282102e-03 3.070948e-03 7.288780e-04 4.647932e-05
    64      3.79754 3.486159e-02 9.683380e-02 7.646850e-03 1.041288e-04
    65      3.79958 5.158541e-02 1.534917e-03 1.403015e-01 1.291979e-02
    66      3.82554 2.474616e-02 6.961981e-02 4.239338e-03 3.793478e-04
    67      3.83520 2.056838e-02 1.779683e-03 2.769163e-02 3.223382e-02
    68      3.84230 1.395363e-01 4.149481e-04 2.517463e-02 3.930194e-01
    69      3.88579 1.959906e-03 1.573336e-04 1.299068e-03 4.423316e-03
    70      3.91044 2.632574e-05 5.011451e-06 4.432086e-05 2.964492e-05
    71      3.92688 1.344095e-03 2.864249e-03 8.164340e-04 3.516025e-04
    72      3.94339 8.113376e-03 1.900643e-02 5.151574e-03 1.821185e-04
    73      3.95580 7.610254e-02 1.843139e-01 4.399371e-02 1.418876e-08
    74      3.96304 5.848284e-02 2.608934e-02 1.493004e-01 5.878294e-05
    75      3.99713 5.766151e-03 1.507406e-03 9.814891e-05 1.569290e-02
    76      4.00451 2.574877e-03 1.030770e-04 7.346624e-03 2.749290e-04
    77      4.01191 6.366805e-02 1.951226e-02 1.694664e-01 2.025490e-03
    78      4.01357 4.164685e-02 1.048246e-01 1.951275e-02 6.032406e-04
    79      4.02220 2.465131e-02 7.154587e-02 1.858666e-03 5.493872e-04
    80      4.02810 2.610647e-03 6.680015e-03 8.236493e-04 3.282783e-04
    81      4.03286 1.707645e-02 3.507801e-02 6.181408e-03 9.969916e-03
    82      4.03509 2.870648e-02 2.055375e-03 3.518522e-02 4.887885e-02
    83      4.04070 8.244056e-03 1.695988e-02 7.745104e-03 2.718579e-05
    84      4.07526 8.281195e-04 5.358375e-04 1.864234e-03 8.428680e-05
    85      4.10002 5.143710e-03 3.967301e-03 6.014026e-03 5.449803e-03
    86      4.10503 1.010752e-02 1.451150e-02 1.424541e-02 1.565650e-03
    87      4.11877 1.383621e-02 2.459699e-03 3.435966e-02 4.689283e-03
    88      4.12489 1.561978e-02 2.787637e-02 1.846042e-02 5.225441e-04
    89      4.12759 2.955588e-02 5.110137e-02 3.742260e-02 1.436591e-04
    90      4.13112 3.781942e-04 4.234601e-04 9.043332e-05 6.206892e-04
    91      4.15246 1.007514e-03 6.866373e-04 2.332897e-03 3.006467e-06
    92      4.16038 2.751924e-03 3.321983e-03 4.402527e-03 5.312623e-04
    93      4.19959 2.644542e-04 5.159071e-04 2.737933e-04 3.662169e-06
    94      4.24356 8.729379e-04 1.763142e-06 1.937044e-03 6.800070e-04
    95      4.25270 2.054544e-03 6.697427e-05 2.004538e-03 4.092120e-03
    96      4.25477 1.776299e-03 3.200172e-03 2.118298e-03 1.042616e-05
    97      4.26122 1.531921e-02 4.097450e-05 1.231569e-04 4.579349e-02
    98      4.26242 6.104041e-03 2.360722e-03 3.996051e-03 1.195535e-02
    99      4.27575 8.108456e-03 3.927334e-03 4.190156e-03 1.620788e-02
   100      4.28288 1.466691e-02 2.929641e-02 1.008944e-02 4.614878e-03
