# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [1e-05, 0, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    7.850000     1.2094696439e-02     0.0000000000e+00    -0.0000000000e+00
    7.900000     1.4703265372e-02     0.0000000000e+00    -0.0000000000e+00
    7.950000     2.1550313143e-02    -0.0000000000e+00    -0.0000000000e+00
    8.000000     2.9009953667e-02     0.0000000000e+00     0.0000000000e+00
    8.050000     3.2028290302e-02     0.0000000000e+00     0.0000000000e+00
    8.100000     2.9415651568e-02     0.0000000000e+00     0.0000000000e+00
    8.150000     2.5133131899e-02     0.0000000000e+00     0.0000000000e+00
    8.200000     2.3160478345e-02     0.0000000000e+00     0.0000000000e+00
    8.250000     2.2498272406e-02     0.0000000000e+00     0.0000000000e+00
    8.300000     2.2714606955e-02     0.0000000000e+00     0.0000000000e+00
    8.350000     2.3434039950e-02     0.0000000000e+00     0.0000000000e+00
    8.400000     2.5840508313e-02     0.0000000000e+00     0.0000000000e+00
    8.450000     2.5791631765e-02     0.0000000000e+00     0.0000000000e+00
    8.500000     2.0251391156e-02     0.0000000000e+00     0.0000000000e+00
    8.550000     1.4008873119e-02     0.0000000000e+00     0.0000000000e+00
    8.600000     1.3234525877e-02     0.0000000000e+00     0.0000000000e+00
    8.650000     1.5746062278e-02     0.0000000000e+00     0.0000000000e+00
    8.700000     1.5558201966e-02     0.0000000000e+00     0.0000000000e+00
    8.750000     1.4411403871e-02     0.0000000000e+00    -0.0000000000e+00
    8.800000     1.4575028209e-02    -0.0000000000e+00    -0.0000000000e+00
    8.850000     1.5463350556e-02    -0.0000000000e+00    -0.0000000000e+00
    8.900000     1.4246292296e-02     0.0000000000e+00     0.0000000000e+00
    8.950000     1.1509341784e-02     0.0000000000e+00     0.0000000000e+00
    9.000000     1.0031312100e-02     0.0000000000e+00     0.0000000000e+00
    9.050000     1.2091347344e-02     0.0000000000e+00     0.0000000000e+00
    9.100000     1.5594975722e-02     0.0000000000e+00     0.0000000000e+00
    9.150000     1.8360513110e-02     0.0000000000e+00    -0.0000000000e+00
    9.200000     1.9706188833e-02     0.0000000000e+00     0.0000000000e+00
    9.250000     1.9633828579e-02     0.0000000000e+00     0.0000000000e+00
    9.300000     1.8986199295e-02    -0.0000000000e+00     0.0000000000e+00
    9.350000     1.6567241816e-02    -0.0000000000e+00     0.0000000000e+00
    9.400000     1.4028861580e-02    -0.0000000000e+00     0.0000000000e+00
    9.450000     1.2452204170e-02     0.0000000000e+00     0.0000000000e+00
    9.500000     1.2829279042e-02     0.0000000000e+00     0.0000000000e+00
    9.550000     1.3456669443e-02     0.0000000000e+00     0.0000000000e+00
    9.600000     1.2388092924e-02     0.0000000000e+00     0.0000000000e+00
    9.650000     1.0718040804e-02     0.0000000000e+00    -0.0000000000e+00
    9.700000     1.0767445066e-02     0.0000000000e+00    -0.0000000000e+00
    9.750000     1.1334842149e-02     0.0000000000e+00    -0.0000000000e+00
    9.800000     1.0509789756e-02     0.0000000000e+00     0.0000000000e+00
    9.850000     1.0208590952e-02     0.0000000000e+00     0.0000000000e+00
    9.900000     1.2763578681e-02     0.0000000000e+00     0.0000000000e+00
    9.950000     1.7685707198e-02     0.0000000000e+00     0.0000000000e+00
