# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    2.750000     0.0000000000e+00     1.9584099894e+01    -0.0000000000e+00
    2.800000     0.0000000000e+00     1.0487413923e+01     0.0000000000e+00
    2.850000     0.0000000000e+00     3.9236815907e+00     0.0000000000e+00
    2.900000     0.0000000000e+00     1.5421641978e+00     0.0000000000e+00
    2.950000     0.0000000000e+00     1.4223327740e+00     0.0000000000e+00
    3.000000     0.0000000000e+00     1.0729844772e+00     0.0000000000e+00
    3.050000     0.0000000000e+00     4.5344900279e-01     0.0000000000e+00
    3.100000     0.0000000000e+00     3.1753068689e-01     0.0000000000e+00
    3.150000     0.0000000000e+00     3.6269652521e-01    -0.0000000000e+00
    3.200000     0.0000000000e+00     1.6802538283e-01    -0.0000000000e+00
    3.250000     0.0000000000e+00    -2.7530445398e-02    -0.0000000000e+00
    3.300000     0.0000000000e+00     1.5419215055e-01    -0.0000000000e+00
    3.350000     0.0000000000e+00     8.9964591823e-01    -0.0000000000e+00
    3.400000     0.0000000000e+00     1.6145166868e+00    -0.0000000000e+00
    3.450000     0.0000000000e+00     1.3973209234e+00    -0.0000000000e+00
    3.500000     0.0000000000e+00     7.4768956759e-01    -0.0000000000e+00
    3.550000     0.0000000000e+00     6.1074439404e-01    -0.0000000000e+00
    3.600000    -0.0000000000e+00     9.2520086725e-01    -0.0000000000e+00
    3.650000    -0.0000000000e+00     1.0377695185e+00    -0.0000000000e+00
    3.700000    -0.0000000000e+00     9.8161163519e-01     0.0000000000e+00
    3.750000    -0.0000000000e+00     1.3682537046e+00     0.0000000000e+00
    3.800000     0.0000000000e+00     1.7830548707e+00     0.0000000000e+00
    3.850000     0.0000000000e+00     1.7676125487e+00     0.0000000000e+00
    3.900000     0.0000000000e+00     2.0579582113e+00     0.0000000000e+00
    3.950000     0.0000000000e+00     2.6097140743e+00     0.0000000000e+00
    4.000000    -0.0000000000e+00     2.4020954258e+00    -0.0000000000e+00
    4.050000    -0.0000000000e+00     1.4995440763e+00    -0.0000000000e+00
    4.100000    -0.0000000000e+00     7.8755669381e-01     0.0000000000e+00
    4.150000    -0.0000000000e+00     4.9230783396e-01     0.0000000000e+00
    4.200000    -0.0000000000e+00     4.8725129573e-01     0.0000000000e+00
    4.250000    -0.0000000000e+00     6.1451679625e-01     0.0000000000e+00
    4.300000    -0.0000000000e+00     5.2543478163e-01     0.0000000000e+00
    4.350000    -0.0000000000e+00     2.4637852769e-01     0.0000000000e+00
    4.400000    -0.0000000000e+00     6.1891902624e-02     0.0000000000e+00
    4.450000    -0.0000000000e+00     5.9991299103e-02     0.0000000000e+00
    4.500000    -0.0000000000e+00     2.5686387630e-01     0.0000000000e+00
    4.550000    -0.0000000000e+00     6.0051857353e-01     0.0000000000e+00
    4.600000    -0.0000000000e+00     8.0940554658e-01     0.0000000000e+00
    4.650000     0.0000000000e+00     7.2449285289e-01    -0.0000000000e+00
    4.700000     0.0000000000e+00     4.9406452658e-01    -0.0000000000e+00
    4.750000     0.0000000000e+00     2.6390685265e-01    -0.0000000000e+00
    4.800000     0.0000000000e+00     1.2863321779e-01     0.0000000000e+00
    4.850000     0.0000000000e+00     1.0460207284e-01     0.0000000000e+00
    4.900000     0.0000000000e+00     1.1853173011e-01     0.0000000000e+00
    4.950000     0.0000000000e+00     1.3248168890e-01     0.0000000000e+00
    5.000000     0.0000000000e+00     1.9624788213e-01     0.0000000000e+00
    5.050000     0.0000000000e+00     3.9821808724e-01     0.0000000000e+00
    5.100000     0.0000000000e+00     7.7371870866e-01    -0.0000000000e+00
    5.150000     0.0000000000e+00     1.0289732511e+00    -0.0000000000e+00
    5.200000    -0.0000000000e+00     8.5723293452e-01    -0.0000000000e+00
    5.250000    -0.0000000000e+00     4.9039223489e-01     0.0000000000e+00
    5.300000    -0.0000000000e+00     2.5840239602e-01     0.0000000000e+00
    5.350000    -0.0000000000e+00     1.7528387574e-01    -0.0000000000e+00
    5.400000    -0.0000000000e+00     1.4230142114e-01    -0.0000000000e+00
    5.450000    -0.0000000000e+00     1.0960833687e-01    -0.0000000000e+00
    5.500000    -0.0000000000e+00     8.8527533973e-02    -0.0000000000e+00
    5.550000    -0.0000000000e+00     1.2145508734e-01    -0.0000000000e+00
    5.600000    -0.0000000000e+00     1.9723853778e-01    -0.0000000000e+00
    5.650000    -0.0000000000e+00     2.5218612465e-01    -0.0000000000e+00
    5.700000    -0.0000000000e+00     2.3314781465e-01    -0.0000000000e+00
    5.750000    -0.0000000000e+00     1.6624387290e-01    -0.0000000000e+00
    5.800000    -0.0000000000e+00     1.3423944670e-01    -0.0000000000e+00
    5.850000    -0.0000000000e+00     1.7174098846e-01    -0.0000000000e+00
    5.900000    -0.0000000000e+00     2.0104492906e-01    -0.0000000000e+00
    5.950000    -0.0000000000e+00     1.4510145376e-01     0.0000000000e+00
    6.000000    -0.0000000000e+00     7.8750075065e-02     0.0000000000e+00
    6.050000    -0.0000000000e+00     7.6556181192e-02     0.0000000000e+00
    6.100000    -0.0000000000e+00     9.6817568759e-02     0.0000000000e+00
    6.150000    -0.0000000000e+00     8.2018800275e-02     0.0000000000e+00
    6.200000    -0.0000000000e+00     6.5745640110e-02     0.0000000000e+00
    6.250000    -0.0000000000e+00     1.0832205397e-01    -0.0000000000e+00
    6.300000     0.0000000000e+00     1.7699081382e-01    -0.0000000000e+00
    6.350000    -0.0000000000e+00     1.7736281726e-01    -0.0000000000e+00
    6.400000    -0.0000000000e+00     1.1674065162e-01     0.0000000000e+00
    6.450000    -0.0000000000e+00     7.4500129767e-02     0.0000000000e+00
    6.500000    -0.0000000000e+00     5.9278932349e-02     0.0000000000e+00
    6.550000    -0.0000000000e+00     4.4430913234e-02     0.0000000000e+00
    6.600000    -0.0000000000e+00     3.0939540807e-02    -0.0000000000e+00
    6.650000    -0.0000000000e+00     2.8669917241e-02    -0.0000000000e+00
    6.700000    -0.0000000000e+00     2.9882191382e-02    -0.0000000000e+00
    6.750000    -0.0000000000e+00     3.6275620279e-02    -0.0000000000e+00
    6.800000    -0.0000000000e+00     4.5730382962e-02    -0.0000000000e+00
    6.850000    -0.0000000000e+00     5.0367964208e-02    -0.0000000000e+00
    6.900000     0.0000000000e+00     7.2635756230e-02    -0.0000000000e+00
    6.950000     0.0000000000e+00     1.0937891083e-01    -0.0000000000e+00
    7.000000     0.0000000000e+00     1.1019695652e-01    -0.0000000000e+00
    7.050000    -0.0000000000e+00     8.2260214003e-02    -0.0000000000e+00
    7.100000    -0.0000000000e+00     6.4955408760e-02    -0.0000000000e+00
    7.150000    -0.0000000000e+00     4.9127103269e-02    -0.0000000000e+00
    7.200000    -0.0000000000e+00     3.1464939378e-02    -0.0000000000e+00
    7.250000    -0.0000000000e+00     2.1227229634e-02    -0.0000000000e+00
    7.300000    -0.0000000000e+00     1.5786432432e-02    -0.0000000000e+00
    7.350000    -0.0000000000e+00     1.0031125810e-02    -0.0000000000e+00
    7.400000    -0.0000000000e+00     2.9872124919e-03    -0.0000000000e+00
    7.450000    -0.0000000000e+00    -1.5851217050e-04    -0.0000000000e+00
    7.500000    -0.0000000000e+00     4.3513483606e-03    -0.0000000000e+00
    7.550000    -0.0000000000e+00     1.4119341077e-02    -0.0000000000e+00
    7.600000    -0.0000000000e+00     2.4735458850e-02     0.0000000000e+00
    7.650000    -0.0000000000e+00     2.9253741503e-02     0.0000000000e+00
    7.700000    -0.0000000000e+00     2.3325905330e-02     0.0000000000e+00
    7.750000    -0.0000000000e+00     1.4969673351e-02     0.0000000000e+00
    7.800000    -0.0000000000e+00     8.7604738711e-03    -0.0000000000e+00
    7.850000    -0.0000000000e+00     6.2920363506e-03    -0.0000000000e+00
    7.900000    -0.0000000000e+00     1.0241463651e-02    -0.0000000000e+00
    7.950000    -0.0000000000e+00     1.9718930712e-02    -0.0000000000e+00
    8.000000    -0.0000000000e+00     2.5076993910e-02    -0.0000000000e+00
    8.050000    -0.0000000000e+00     1.9267650920e-02    -0.0000000000e+00
    8.100000    -0.0000000000e+00     9.1169999836e-03    -0.0000000000e+00
    8.150000    -0.0000000000e+00     4.1820899473e-03    -0.0000000000e+00
    8.200000    -0.0000000000e+00     3.7335555400e-03    -0.0000000000e+00
