# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    6.300000     0.0000000000e+00    -0.0000000000e+00     9.6108781724e-02
    6.350000    -0.0000000000e+00    -0.0000000000e+00     1.2623343267e-01
    6.400000    -0.0000000000e+00    -0.0000000000e+00     1.4568079153e-01
    6.450000    -0.0000000000e+00    -0.0000000000e+00     1.2774249727e-01
    6.500000    -0.0000000000e+00    -0.0000000000e+00     9.9565636944e-02
    6.550000    -0.0000000000e+00    -0.0000000000e+00     8.4054641657e-02
    6.600000    -0.0000000000e+00    -0.0000000000e+00     8.3199989773e-02
    6.650000    -0.0000000000e+00    -0.0000000000e+00     9.1185729365e-02
    6.700000    -0.0000000000e+00    -0.0000000000e+00     9.9391388847e-02
    6.750000    -0.0000000000e+00    -0.0000000000e+00     1.0615474233e-01
    6.800000    -0.0000000000e+00    -0.0000000000e+00     1.1027762900e-01
    6.850000    -0.0000000000e+00     0.0000000000e+00     1.0650915709e-01
    6.900000    -0.0000000000e+00     0.0000000000e+00     9.5854028015e-02
    6.950000    -0.0000000000e+00     0.0000000000e+00     8.5116235148e-02
    7.000000    -0.0000000000e+00    -0.0000000000e+00     7.7158586257e-02
    7.050000    -0.0000000000e+00    -0.0000000000e+00     7.8888569464e-02
    7.100000    -0.0000000000e+00    -0.0000000000e+00     7.8963095113e-02
    7.150000    -0.0000000000e+00    -0.0000000000e+00     7.0806250374e-02
    7.200000    -0.0000000000e+00    -0.0000000000e+00     6.6804130961e-02
    7.250000    -0.0000000000e+00    -0.0000000000e+00     6.5163511147e-02
    7.300000    -0.0000000000e+00    -0.0000000000e+00     5.7335199753e-02
    7.350000    -0.0000000000e+00    -0.0000000000e+00     4.8721944697e-02
    7.400000    -0.0000000000e+00    -0.0000000000e+00     4.9299401391e-02
    7.450000    -0.0000000000e+00    -0.0000000000e+00     5.9096984045e-02
    7.500000    -0.0000000000e+00    -0.0000000000e+00     6.9939146832e-02
    7.550000    -0.0000000000e+00    -0.0000000000e+00     7.1916882614e-02
    7.600000    -0.0000000000e+00    -0.0000000000e+00     6.4416161889e-02
    7.650000    -0.0000000000e+00    -0.0000000000e+00     5.1745867322e-02
    7.700000    -0.0000000000e+00    -0.0000000000e+00     4.2680044660e-02
    7.750000    -0.0000000000e+00    -0.0000000000e+00     4.0095729531e-02
    7.800000    -0.0000000000e+00    -0.0000000000e+00     4.2111876733e-02
    7.850000    -0.0000000000e+00    -0.0000000000e+00     4.5041450533e-02
    7.900000    -0.0000000000e+00    -0.0000000000e+00     4.5575162707e-02
    7.950000    -0.0000000000e+00    -0.0000000000e+00     4.4370519388e-02
    8.000000    -0.0000000000e+00    -0.0000000000e+00     4.4122244971e-02
    8.050000    -0.0000000000e+00    -0.0000000000e+00     4.7244439228e-02
    8.100000    -0.0000000000e+00    -0.0000000000e+00     4.9053042598e-02
    8.150000    -0.0000000000e+00    -0.0000000000e+00     4.8084424960e-02
    8.200000    -0.0000000000e+00    -0.0000000000e+00     4.6315235697e-02
    8.250000    -0.0000000000e+00    -0.0000000000e+00     4.7841229289e-02
    8.300000    -0.0000000000e+00    -0.0000000000e+00     4.9905214818e-02
    8.350000    -0.0000000000e+00    -0.0000000000e+00     4.8884432531e-02
    8.400000    -0.0000000000e+00    -0.0000000000e+00     4.9229571408e-02
    8.450000    -0.0000000000e+00    -0.0000000000e+00     5.3221186314e-02
    8.500000    -0.0000000000e+00    -0.0000000000e+00     5.4204964208e-02
    8.550000    -0.0000000000e+00    -0.0000000000e+00     4.6704552862e-02
    8.600000    -0.0000000000e+00    -0.0000000000e+00     3.6965838258e-02
    8.650000    -0.0000000000e+00    -0.0000000000e+00     3.2339156800e-02
    8.700000    -0.0000000000e+00    -0.0000000000e+00     3.7710729822e-02
    8.750000    -0.0000000000e+00    -0.0000000000e+00     4.6835855815e-02
    8.800000    -0.0000000000e+00    -0.0000000000e+00     5.1132005268e-02
    8.850000    -0.0000000000e+00    -0.0000000000e+00     4.8133647631e-02
    8.900000    -0.0000000000e+00    -0.0000000000e+00     4.1438035669e-02
    8.950000    -0.0000000000e+00    -0.0000000000e+00     3.3634903652e-02
    9.000000    -0.0000000000e+00    -0.0000000000e+00     2.8095972097e-02
    9.050000    -0.0000000000e+00    -0.0000000000e+00     2.8702125150e-02
    9.100000    -0.0000000000e+00    -0.0000000000e+00     3.2963300562e-02
    9.150000    -0.0000000000e+00    -0.0000000000e+00     3.7589635209e-02
    9.200000    -0.0000000000e+00    -0.0000000000e+00     3.9154409188e-02
    9.250000    -0.0000000000e+00    -0.0000000000e+00     3.7731166364e-02
    9.300000    -0.0000000000e+00    -0.0000000000e+00     3.4175175014e-02
    9.350000    -0.0000000000e+00    -0.0000000000e+00     3.3582122256e-02
    9.400000    -0.0000000000e+00    -0.0000000000e+00     3.5266831324e-02
    9.450000    -0.0000000000e+00    -0.0000000000e+00     3.6371128378e-02
    9.500000    -0.0000000000e+00    -0.0000000000e+00     3.6722796541e-02
    9.550000    -0.0000000000e+00    -0.0000000000e+00     3.5246414908e-02
    9.600000    -0.0000000000e+00    -0.0000000000e+00     3.1055746673e-02
    9.650000    -0.0000000000e+00    -0.0000000000e+00     2.7281049055e-02
    9.700000    -0.0000000000e+00    -0.0000000000e+00     2.6486510542e-02
    9.750000    -0.0000000000e+00    -0.0000000000e+00     2.6209720593e-02
