# Time-correlated data for fix PP
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_str[4]*c_str[4] c_str[5]*c_str[5] c_str[6]*c_str[6]
100000 400
260 1295 19742 -107.421 47.3394 40.6855
261 1300 19741 -99.8063 47.1975 11.2032
262 1305 19740 -87.4437 50.1485 -10.7407
263 1310 19739 -72.5156 59.4924 -22.2721
264 1315 19738 -51.6122 72.6945 -30.7609
265 1320 19737 -21.4618 81.6901 -45.9579
266 1325 19736 12.4617 84.1806 -65.2048
267 1330 19735 34.793 83.2061 -73.1686
268 1335 19734 40.8065 75.7513 -62.8183
269 1340 19733 40.4933 60.9749 -44.3956
270 1345 19732 42.2353 43.8385 -30.8241
271 1350 19731 45.16 28.8841 -28.0485
272 1355 19730 43.3202 20.1075 -32.6369
273 1360 19729 35.7126 19.0092 -38.0995
274 1365 19728 27.7538 23.8463 -38.9453
275 1370 19727 23.6794 31.4526 -32.6197
276 1375 19726 20.86 37.6351 -22.372
277 1380 19725 10.2055 40.7289 -16.048
278 1385 19724 -9.04281 40.3641 -15.3915
279 1390 19723 -23.6974 34.4625 -19.71
280 1395 19722 -22.2957 24.2999 -31.3375
281 1400 19721 -8.38171 15.2203 -44.8387
282 1405 19720 8.04281 14.1038 -55.512
283 1410 19719 18.575 22.7702 -62.0867
284 1415 19718 22.5827 35.339 -64.9031
285 1420 19717 26.5787 42.3098 -68.3765
286 1425 19716 34.0068 40.1082 -72.9962
287 1430 19715 43.3986 36.0846 -70.2549
288 1435 19714 50.4408 36.8114 -54.2438
289 1440 19713 53.0955 40.5857 -31.0926
290 1445 19712 53.1693 40.666 -14.5059
291 1450 19711 53.4502 33.712 -10.3681
292 1455 19710 52.3066 24.2082 -14.2364
293 1460 19709 47.5955 17.6432 -19.0346
294 1465 19708 45.1199 16.6256 -19.1184
295 1470 19707 50.09 20.2667 -17.4253
296 1475 19706 61.5324 22.4925 -23.3339
297 1480 19705 76.5533 18.2657 -33.4505
298 1485 19704 87.3185 8.31156 -37.9853
299 1490 19703 86.5048 -6.08903 -36.72
300 1495 19702 74.5609 -22.3674 -34.5037
301 1500 19701 57.6681 -35.2208 -35.9039
302 1505 19700 46.8935 -44.2142 -44.6777
303 1510 19699 47.6068 -50.6333 -57.8148
304 1515 19698 51.7324 -55.5788 -68.3644
305 1520 19697 48.5921 -59.0435 -70.4805
306 1525 19696 35.7076 -58.8494 -62.6074
307 1530 19695 16.217 -53.4614 -48.6284
308 1535 19694 -3.73094 -44.0288 -35.6367
309 1540 19693 -17.8488 -34.6203 -28.9037
310 1545 19692 -23.1168 -30.4857 -25.9819
311 1550 19691 -20.4932 -30.124 -20.1388
312 1555 19690 -13.0499 -33.3956 -6.33677
313 1560 19689 -2.32025 -45.8654 13.9733
314 1565 19688 9.77249 -66.0606 35.0842
315 1570 19687 21.4334 -83.7777 53.6032
316 1575 19686 32.5548 -88.6846 69.2565
317 1580 19685 43.3056 -79.6071 80.8544
318 1585 19684 53.9691 -61.8908 87.2555
319 1590 19683 63.729 -38.7433 90.196
320 1595 19682 69.8699 -14.7578 91.3626
321 1600 19681 73.3329 5.07508 89.1669
322 1605 19680 77.1162 21.651 80.5419
323 1610 19679 80.3503 37.0241 66.709
324 1615 19678 78.0175 51.3198 52.1505
325 1620 19677 63.4754 64.1823 37.5161
326 1625 19676 34.5717 75.0202 20.4486
327 1630 19675 -3.13315 82.0099 2.99534
328 1635 19674 -39.2719 84.1287 -7.66275
329 1640 19673 -64.2181 79.6428 -11.0685
330 1645 19672 -75.1198 69.409 -9.43842
331 1650 19671 -74.7093 58.9991 -2.96409
332 1655 19670 -69.265 51.0371 4.84624
333 1660 19669 -65.6125 41.2732 9.32086
334 1665 19668 -61.5076 29.066 10.1381
335 1670 19667 -49.2856 18.3551 10.6165
336 1675 19666 -27.9435 9.68583 13.9897
337 1680 19665 -2.13725 4.54739 18.8631
338 1685 19664 20.0846 3.0755 24.5768
339 1690 19663 31.7494 1.06458 33.6771
340 1695 19662 35.2088 -6.81151 40.1131
341 1700 19661 36.8636 -23.6657 33.4029
342 1705 19660 38.3903 -44.6151 19.396
343 1710 19659 36.021 -62.217 14.7103
344 1715 19658 27.2028 -73.1255 24.2228
