# Time-correlated data for fix JJ
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_hflux[1]*c_hflux[1] c_hflux[2]*c_hflux[2] c_hflux[3]*c_hflux[3]
100000 400
370 1845 19632 -0.185483 0.130835 0.0966212
371 1850 19631 -0.223267 0.12276 0.0626295
372 1855 19630 -0.202455 0.106951 0.0422349
373 1860 19629 -0.145849 0.087222 0.0333833
374 1865 19628 -0.111391 0.0643146 0.0114962
375 1870 19627 -0.120291 0.0294855 -0.0324615
376 1875 19626 -0.136218 -0.0160756 -0.0697654
377 1880 19625 -0.123738 -0.0500292 -0.0478519
378 1885 19624 -0.0765176 -0.0662401 0.0165569
379 1890 19623 -0.0113149 -0.0775483 0.050421
380 1895 19622 0.0306449 -0.0695515 0.0466922
381 1900 19621 0.0104665 -0.0482354 0.0419805
382 1905 19620 -0.059085 -0.0497148 0.0517478
383 1910 19619 -0.0985175 -0.0660941 0.0464052
384 1915 19618 -0.062055 -0.077108 -0.00117714
385 1920 19617 0.0212403 -0.0930855 -0.0871339
386 1925 19616 0.113903 -0.111308 -0.19292
387 1930 19615 0.195648 -0.115702 -0.282491
388 1935 19614 0.238306 -0.0863876 -0.347162
389 1940 19613 0.241036 -0.0368139 -0.423987
390 1945 19612 0.232506 -0.0140083 -0.520557
391 1950 19611 0.219743 -0.0128947 -0.604252
392 1955 19610 0.186529 0.00575341 -0.669477
393 1960 19609 0.105674 0.0366442 -0.70672
394 1965 19608 -0.0274112 0.0602593 -0.685214
395 1970 19607 -0.168732 0.0715324 -0.601461
396 1975 19606 -0.276379 0.085453 -0.493914
397 1980 19605 -0.34961 0.120923 -0.386693
398 1985 19604 -0.392564 0.16575 -0.271239
399 1990 19603 -0.401698 0.204662 -0.14135
400 1995 19602 -0.3677 0.244412 -0.00581341
